Image filename,Noisy vs GT PSNR,Prediction vs GT PSNR,Noisy vs GT SSIM,Prediction vs GT SSIM
clean_9.tiff,17.11353189,26.04813982,0.522889161,0.86634305
clean_1.tiff,19.59549362,28.82877148,0.330606162,0.802760508
clean_3.tiff,8.586636498,17.06627081,0.185630707,0.627844325
clean_4.tiff,8.633363226,17.26970794,0.126417911,0.68760861
clean_2.tiff,14.79253695,26.0368686,0.292540944,0.846885701
clean_8.tiff,17.02009468,26.24165435,0.591527761,0.915212373
clean_7.tiff,17.39995319,27.33555198,0.34484937,0.864091266
clean_10.tiff,16.94105291,27.30616863,0.286015522,0.770519346
clean_6.tiff,19.11363338,28.98486882,0.405282992,0.849117811
clean_5.tiff,18.52282755,29.11141021,0.205718061,0.795688631
,,,,
Average,15.77191239,25.42294126,0.329147859,0.802607162
